data;preço
02/04/2020;4.40
09/04/2020;4.40 
16/04/2020;4.20 
23/04/2020;4.20 
30/04/2020;4.60
07/05/2020;5.00
14/05/2020;5.00
21/05/2020;5.10
28/05/2020;5.10
04/06/2020;5.30
10/06/2020;5.30
18/06/2020;5.30
25/06/2020;5.50
02/07/2020;5.50 
09/07/2020;6.10 
16/07/2020;7.00 
23/07/2020;7.00 
30/07/2020;7.00 
06/08/2020;7.40
13/08/2020;7.80 
20/08/2020;7.80 
27/08/2020;7.80 
03/09/2020;8.20 
10/09/2020;8.20 
17/09/2020;8.20 
24/09/2020;8.20 
01/10/2020;8.20 
08/10/2020;8.50 
15/10/2020;9.00 
22/10/2020;9.50 
05/11/2020;9.80 
12/11/2020;9.50 
19/11/2020;9.10 
26/11/2020;7.60 
29/11/2020;9.50 
03/12/2020;6.70 
10/12/2020;7.5
17/12/2020;7.50 
23/12/2020;7.50 
07/01/2021;7.50 
14/01/2021;7.20 
21/01/2021;6.00 
28/01/2021;6.00 
04/02/2021;6.80 
11/02/2021;7.60 
17/02/2021;6.10 
24/02/2021;8.10 
03/03/2021;7.00 
11/03/2021;6.50 
18/03/2021;6.50 
25/03/2021;6.50 
01/04/2021;6.00 
08/04/2021;7.00 
15/04/2021;8.40 
22/04/2021; 8.00 
29/04/2021;8.00 
06/05/2021;8.00 
13/05/2021;6.30 
20/05/2021;5.50 
27/05/2021;6.00 
02/06/2021;6.50 
10/06/2021;7.50 
17/06/2021;7.50 
24/06/2021;7.50 
01/07/2021; 6.00 
08/07/2021; 7.50 
15/07/2021;7.00 
22/07/2021;7.00 
29/07/2021;7.00
05/08/2021;7.20 
12/08/2021;7.20 
19/08/2021;6.95
19/08/2021;7.20 
26/08/2021;6.50 
02/09/2021; 6.70 
09/09/2021;6.90 
16/09/2021;7.50 
23/09/2021;7.50 
30/09/2021;7.50 
07/10/2021;7.50 
14/10/2021;7.50 
21/10/2021;7.00 
28/10/2021;6.50 
04/11/2021;7.00 
11/11/2021;7.50 
18/11/2021;7.50 
25/11/2021;7.50 
02/12/2021;7.50 
16/12/2021;6.40 
23/12/2021;6.70 
30/12/2021;6.20 
